term_id,term_str,n,num,stop,p_stem,pos_max
790,30s,2,1,0,30,CD
791,31,62,1,0,31,CD
792,310,4,1,0,310,CD
793,311,7,1,0,311,CD
794,312,3,1,0,312,CD
795,313,4,1,0,313,CD
796,314,5,1,0,314,CD
797,315,5,1,0,315,CD
798,315000,1,1,0,315000,CD
799,316,3,1,0,316,CD
800,317,5,1,0,317,CD
801,318,4,1,0,318,CD
802,319,6,1,0,319,CD
803,32,60,1,0,32,CD
804,320,3,1,0,320,CD
805,321,9,1,0,321,CD
806,322,5,1,0,322,CD
807,323,4,1,0,323,CD
808,324,3,1,0,324,CD
809,325,5,1,0,325,CD
810,326,6,1,0,326,CD
811,327,5,1,0,327,CD
812,328,3,1,0,328,CD
813,3285,1,1,0,3285,CD
814,3289,1,1,0,3289,JJ
815,329,4,1,0,329,CD
816,32930,1,1,0,32930,JJ
817,33,62,1,0,33,CD
818,330,4,1,0,330,CD
819,331,7,1,0,331,CD
820,332,6,1,0,332,CD
821,333,5,1,0,333,CD
822,334,5,1,0,334,CD
823,335,7,1,0,335,CD
824,336,5,1,0,336,CD
825,337,4,1,0,337,CD
826,3373,1,1,0,3373,CD
827,338,4,1,0,338,CD
828,339,4,1,0,339,CD
829,34,60,1,0,34,CD
830,340,3,1,0,340,CD
831,3409,1,1,0,3409,CD
832,341,3,1,0,341,CD
833,342,5,1,0,342,CD
